gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0024030,2016,DL,0.7663265306122449,0.87782340862423,32,0,0,0,0,,
00-0024030,2017,DL,0.87782340862423,0.5570866141732284,33,0,0,0,0,,
00-0024030,2018,DL,0.5570866141732284,0.5320796460176991,34,0,0,0,0,,
00-0024061,2015,DB,0.7586206896551724,0.5916666666666667,32,0,0,0,1,,
00-0024061,2016,DB,0.5916666666666667,0.3946886446886447,33,0,0,0,0,,
00-0024061,2017,DB,0.3946886446886447,0.5018552875695733,34,0,0,0,1,,
00-0024061,2018,DB,0.5018552875695733,0.20343580470162748,35,1,1,0,1,,
00-0024061,2019,DB,0.20343580470162748,0.6915077989601387,36,0,0,0,0,,
00-0024061,2020,DB,0.6915077989601387,0.20654044750430292,37,0,0,0,0,,
00-0024102,2015,DL,0.3203285420944558,0.3377551020408163,30,0,0,0,1,,
00-0024102,2016,DL,0.3377551020408163,0.5390143737166324,31,1,1,0,1,,
00-0024183,2015,DB,0.8393829401088929,0.7231481481481481,32,0,0,0,0,,
00-0024183,2016,DB,0.7231481481481481,0.8855311355311355,33,0,0,0,1,,
00-0024183,2017,DB,0.8855311355311355,0.6280148423005566,34,0,0,0,0,,
00-0024183,2018,DB,0.6280148423005566,0.4403254972875226,35,0,0,0,0,,
00-0024204,2015,RB,0.8759541984732825,0.6035087719298246,34,0,0,0,1,,
00-0024217,2015,RB,0.7251908396946565,0.07192982456140351,30,0,0,0,1,0.37790697674418605,0.0446927374301676
00-0024217,2016,RB,0.07192982456140351,0.22782258064516128,31,0,0,0,1,0.0446927374301676,0.10227272727272728
00-0024220,2015,LB,0.40932642487046633,0.19480519480519481,31,0,0,0,1,,
00-0024221,2016,TE,0.6160220994475138,0.7442528735632183,32,0,0,0,1,0.488,0.7109375
00-0024221,2017,TE,0.7442528735632183,0.8198924731182796,33,0,0,0,0,0.7109375,0.9166666666666666
00-0024221,2018,TE,0.8198924731182796,0.7171717171717171,34,0,0,0,0,0.9166666666666666,0.5112781954887218
00-0024221,2019,TE,0.7171717171717171,0.3201058201058201,35,0,0,0,0,0.5112781954887218,0.8955223880597015
00-0024223,2015,DB,0.7813067150635209,0.8675925925925926,30,0,0,0,0,,
00-0024223,2016,DB,0.8675925925925926,0.33974358974358976,31,0,0,0,1,,
00-0024226,2015,QB,0.7233009708737864,0.6067961165048543,32,0,0,0,0,0.8092105263157895,0.6933333333333334
00-0024226,2016,QB,0.6067961165048543,0.2193877551020408,33,0,0,0,0,0.6933333333333334,0.6301369863013698
00-0024226,2017,QB,0.2193877551020408,0.4587628865979381,34,1,1,0,1,0.6301369863013698,0.5066666666666667
00-0024227,2015,DL,0.9650924024640657,0.6540816326530612,31,0,0,0,1,0.7881944444444444,0.7993421052631579
00-0024227,2016,DL,0.6540816326530612,0.5646817248459959,32,0,0,0,0,0.7993421052631579,0.8040540540540541
00-0024227,2017,DL,0.5646817248459959,0.32381889763779526,33,0,0,0,0,0.8040540540540541,0.5431309904153354
00-0024227,2018,DL,0.32381889763779526,0.4668141592920354,34,0,0,0,1,0.5431309904153354,0.47368421052631576
